Table 1
ABS,ORGNAME,POSTAL_ADD1,POSTAL_ADD2,POSTAL_SUBURB,POSTAL_STATE,POSTAL_PCODE,STREET_ADD1,STREET_ADD2,STREET_SUBURB,STREET_STATE,STREET_PCODE,PHONE,FAX,DX,GM_SAL,GM_FIRST,GM_LAST,GM_AWARD,MAYOR_SAL,MAYOR_FIRST,MAYOR_LAST,MAYOR_AWARD,EMAIL,WEB,AREA,POPULATION,ABN,METRO
10050,Albury City Council,PO Box 323,,ALBURY,NSW,2640,553 Kiewa Street,,Albury,NSW,2640,02 6023 8111,02 6023 8190,,Ms,Gael,Evans-Barr,,Clr,Kevin,Mack,,info@alburycity.nsw.gov.au,http://www.alburycity.nsw.gov.au,306,52949,92 965 474 349,0
10180,Armidale Regional Council,PO Box 75A,,ARMIDALE,NSW,2350,135 Rusden Street,,Armidale,NSW,2350,1300 136 833,02 6772 9275,,Mr,James,Roncon,,Clr,Sam,Coupland,,council@armidale.nsw.gov.au,http://www.armidaleregional.nsw.gov.au,8621,30594,39 642 954 203,0
10250,Ballina Shire Council,PO Box 450,,BALLINA,NSW,2478,40 Cherry Street,,Ballina,NSW,2478,1300 864 444,02 6686 7035,,Mr,Paul,Hickey,,Clr,Sharon,Cadwallader,,council@ballina.nsw.gov.au,http://www.ballina.nsw.gov.au,485,43457,53 929 887 369,0
10300,Balranald Shire Council,PO Box 120,,BALRANALD,NSW,2715,70 Market Street,,Balranald,NSW,2715,03 5020 1300,03 5020 1620,,Mr,Terry,Dodds,,Clr,Louie,Zaffina,,council@balranald.nsw.gov.au,http://www.balranald.nsw.gov.au,21691,2341,74 678 751 581,0
10470,Bathurst Regional Council,Private Mail Bag 17,,BATHURST,NSW,2795,158 Russell Street,,Bathurst,NSW,2795,02 6333 6111,02 6331 7211,,Mr,David,Sherley,,Clr,Robert,Taylor,,council@bathurst.nsw.gov.au,http://www.bathurst.nsw.gov.au,3818,42779,42 173 522 302,0
10500,Bayside Council,PO Box 21,,ROCKDALE,NSW,2216,444-446 Princes Highway,,Rockdale,NSW,2216,1300 581 299,0,,Ms,Meredith,Wallace,,Clr,Ed,McDougall,,council@bayside.nsw.gov.au,http://www.bayside.nsw.gov.au,50,170089,80 690 785 443,1
10550,Bega Valley Shire Council,PO Box 492,,BEGA,NSW,2550,Zingel Place,,Bega,NSW,2550,02 6499 2222,02 6499 2200,4904 Bega,Mr,Anthony,McMahon,,Clr,Russell,Fitzpatrick,,council@begavalley.nsw.gov.au,http://www.begavalley.nsw.gov.au,6279,34102,26 987 935 332,0
10600,Bellingen Shire Council,PO Box 117,,BELLINGEN,NSW,2454,33 Hyde Street,,Bellingen,NSW,2454,02 6655 7300,02 6655 2310,,Mr,Mark,Griffioen ,,Clr,Steve,Allan,,council@bellingen.nsw.gov.au,http://www.bellingen.nsw.gov.au,1600,12946,26 066 993 265,0
10650,Berrigan Shire Council,56 Chanter Street,,Berrigan,NSW,2712,56 Chanter Street,,Berrigan,NSW,2712,03 5888 5100,03 5885 2092,,Mr,Mark,Dupé,,Clr Dr,Julia,Cornwell Mckean,,mail@berriganshire.nsw.gov.au,http://www.berriganshire.nsw.gov.au,2066,8664,53 900 833 102,0
10750,Blacktown City Council,PO Box 63,,BLACKTOWN,NSW,2148,62 Flushcombe Road,,Blacktown,NSW,2148,02 9839 6000,02 9831 1961,8117 Blacktown,Mr,Kerry,Robinson,OAM,Clr,Brad,Bunting,,council@blacktown.nsw.gov.au,http://www.blacktown.nsw.gov.au,247,357479,18 153 831 768,1
10800,Bland Shire Council,PO Box 21,,WEST WYALONG,NSW,2671,6 Shire St,,West Wyalong,NSW,2671,02 6972 2266,02 6972 2145,,Mr,Grant,Baker,,Clr,Brian,Monaghan,,council@blandshire.nsw.gov.au,http://www.blandshire.nsw.gov.au,8558,5985,13 251 814 087,0
10850,Blayney Shire Council,PO Box 62,,BLAYNEY,NSW,2799,91 Adelaide Street,,Blayney,NSW,2799,02 6368 2104,0,,Mr,Mark,Dicker,,Clr,Bruce,Reynolds,,council@blayney.nsw.gov.au,http://www.blayney.nsw.gov.au,1525,7344,47 619 651 511,0
10900,Blue Mountains City Council,Locked Bag 1005,,KATOOMBA,NSW,2780,2 Civic Place,,Katoomba,NSW,2780,02 4780 5000,02 4780 5555,,Dr,Rosemary,Dillon,,Clr,Mark,Greenhill,,council@bmcc.nsw.gov.au,http://www.bmcc.nsw.gov.au,1431,78968,52 699 520 223,1
10950,Bogan Shire Council,PO Box 221,,NYNGAN,NSW,2825,81 Cobar Street,,Nyngan,NSW,2825,02 6835 9000,02 6835 9011,,Mr,Derek,Francis,,Clr,Glen,Neill,,admin@bogan.nsw.gov.au,http://www.bogan.nsw.gov.au,14600,2664,68 886 242 083,0
11150,Bourke Shire Council,PO Box 21,,BOURKE,NSW,2840,29 Mitchell Street,,Bourke,NSW,2840,02 6830 8000,02 6872 3030,,Mrs,Leonie,Brown,,Clr,Lachlan,Ford,,bourkeshire@bourke.nsw.gov.au,http://www.bourke.nsw.gov.au,41600,2695,96 716 194 950,0
11200,Brewarrina Shire Council,PO Box 125,,BREWARRINA,NSW,2839,57 Bathurst Street,,Brewarrina,NSW,2839,02 6830 5100,02 6839 2100,,Mr,David,Kirby,,Clr,Tommy,Stanton,,breshire@brewarrina.nsw.gov.au,https://www.brewarrina.nsw.gov.au/,19164,1670,22 664 205 362,0
11250,Broken Hill City Council,PO Box 448,,BROKEN HILL,NSW,2880,Administrative Centre,240 Blende Street,Broken Hill,NSW,2880,08 8080 3300,08 8080 3424,,Mr,Jay,Nankivell,,Clr,Thomas,Kennedy,,council@brokenhill.nsw.gov.au,http://www.brokenhill.nsw.gov.au,170,17873,84 873 116 132,0
11300,Burwood Council,PO Box 2044,,BURWOOD NORTH,NSW,2134,2 Conder Street,,Burwood,NSW,2134,02 9911 9911,02 9911 9900,,Mr,Tommaso,Briscese,,Clr,John,Faker,,council@burwood.nsw.gov.au,http://www.burwood.nsw.gov.au,7,39310,84 362 114 428,1
